,Score,time,subject,nb_cal,clf,score_01
378,0.8,1.4106060606060606,11,5,Xdawn+RG+SVC,0.6604896907216495
379,0.82,1.4092592592592597,11,5,Xdawn+LDA,0.7169909793814433
380,0.89,1.452688172043011,11,6,Xdawn+RG+MDM,0.7673969072164949
381,0.83,1.4672222222222226,11,6,Xdawn+RG+LDA,0.6963774341351661
382,0.81,1.4470238095238097,11,6,Xdawn+RG+SVC,0.6475658648339061
383,0.89,1.4279569892473123,11,6,Xdawn+LDA,0.7313788659793814
384,0.78,1.4825757575757577,11,7,Xdawn+RG+MDM,0.7534874355670103
385,0.84,1.4575757575757577,11,7,Xdawn+RG+LDA,0.6816929768041237
386,0.72,1.4027777777777777,11,7,Xdawn+RG+SVC,0.6392880154639176
387,0.97,1.380666666666667,11,7,Xdawn+LDA,0.7387242268041236
